County2,Date Added,Date Added (copy),7-day Average,Freq Count - Hawaii,Freq Count - Honolulu,Freq Count - Kauai,Freq Count - Maui,Freq Count per County,Freq Count per County Over 7,Frequency Count
Honolulu,3/5/2020,"Thursday, March 5, 2020",0.142857143,0,1,0,0,1,0,1
Honolulu,3/8/2020,"Sunday, March 8, 2020",0.142857143,0,1,0,0,1,0,1
Kauai,3/13/2020,"Friday, March 13, 2020",0.285714286,0,0,2,0,2,0,2
Honolulu,3/14/2020,"Saturday, March 14, 2020",0.285714286,0,2,0,0,2,0,2
Maui,3/14/2020,"Saturday, March 14, 2020",0.142857143,0,0,0,1,1,0,1
Honolulu,3/15/2020,"Sunday, March 15, 2020",0.285714286,0,2,0,0,2,0,2
Maui,3/15/2020,"Sunday, March 15, 2020",0.142857143,0,0,0,1,1,0,1
Honolulu,3/16/2020,"Monday, March 16, 2020",0.142857143,0,1,0,0,1,0,1
Hawaii,3/17/2020,"Tuesday, March 17, 2020",0.142857143,1,0,0,0,1,0,1
Honolulu,3/17/2020,"Tuesday, March 17, 2020",0.428571429,0,3,0,0,3,0,3
Maui,3/17/2020,"Tuesday, March 17, 2020",0.142857143,0,0,0,1,1,0,1
Honolulu,3/18/2020,"Wednesday, March 18, 2020",0.571428571,0,4,0,0,4,1,4
Maui,3/18/2020,"Wednesday, March 18, 2020",0.285714286,0,0,0,2,2,0,2
Honolulu,3/19/2020,"Thursday, March 19, 2020",2.285714286,0,16,0,0,16,2,16
Kauai,3/19/2020,"Thursday, March 19, 2020",0.142857143,0,0,1,0,1,0,1
Hawaii,3/20/2020,"Friday, March 20, 2020",0.285714286,2,0,0,0,2,0,2
Honolulu,3/20/2020,"Friday, March 20, 2020",0.857142857,0,6,0,0,6,1,6
Maui,3/20/2020,"Friday, March 20, 2020",0.285714286,0,0,0,2,2,0,2
Honolulu,3/21/2020,"Saturday, March 21, 2020",1.142857143,0,8,0,0,8,1,8
Maui,3/21/2020,"Saturday, March 21, 2020",0.285714286,0,0,0,2,2,0,2
Hawaii,3/22/2020,"Sunday, March 22, 2020",0.142857143,1,0,0,0,1,0,1
Honolulu,3/22/2020,"Sunday, March 22, 2020",2.285714286,0,16,0,0,16,2,16
Kauai,3/22/2020,"Sunday, March 22, 2020",0.142857143,0,0,1,0,1,0,1
