Date,Statewide total,Oahu,Hawaii island,Maui,Kauai,Molokai,Outside Hawaii
3/6/2020,1,1,0,0,0,0,0
3/7/2020,0,0,0,0,0,0,0
3/8/2020,1,1,0,0,0,0,0
3/9/2020,0,0,0,0,0,0,0
3/10/2020,0,0,0,0,0,0,0
3/11/2020,0,0,0,0,0,0,0
3/12/2020,0,0,0,0,0,0,0
3/13/2020,0,0,0,0,0,0,0
3/14/2020,2,0,0,0,2,0,0
3/15/2020,3,2,0,1,0,0,0
3/16/2020,3,2,0,1,0,0,0
3/17/2020,4,2,1,1,0,0,0
3/18/2020,2,2,0,0,0,0,0
3/19/2020,10,8,0,2,0,0,0
3/20/2020,11,10,0,0,1,0,0
3/21/2020,11,7,2,2,0,0,0
3/22/2020,8,6,0,2,0,0,0
3/23/2020,21,12,2,2,0,0,0
3/24/2020,14,12,1,1,0,0,0
3/25/2020,6,4,0,1,1,0,0
3/26/2020,11,8,0,1,0,0,2
3/27/2020,14,10,2,2,0,0,0
3/28/2020,29,19,3,0,6,0,0
3/29/2020,24,11,2,4,1,0,0
3/30/2020,29,15,2,5,0,0,0
3/31/2020,20,21,1,0,0,0,0
4/1/2020,34,25,3,1,0,0,0
4/2/2020,27,24,0,1,0,0,0
4/3/2020,34,31,2,9,1,0,0
4/4/2020,32,29,2,2,2,0,0
4/5/2020,20,15,0,5,1,0,0
4/6/2020,16,11,1,1,1,0,0
4/7/2020,23,20,0,2,1,2,0
4/8/2020,25,16,3,6,0,0,0
4/9/2020,7,6,2,3,0,0,0
4/10/2020,23,9,3,9,1,0,0
4/11/2020,21,5,3,14,0,0,0
4/12/2020,13,2,5,4,2,0,0
4/13/2020,5,2,1,2,0,0,0
4/14/2020,13,6,1,2,0,0,4
4/15/2020,13,11,0,4,0,0,0
4/16/2020,11,4,0,3,0,0,0
4/17/2020,12,7,3,7,0,0,0
4/18/2020,21,2,17,2,0,0,0
4/19/2020,6,3,1,2,0,0,0
4/20/2020,4,0,2,2,0,0,0
4/21/2020,2,0,0,2,0,0,0
4/22/2020,6,3,3,0,0,0,0
4/23/2020,4,1,1,2,0,0,0
4/24/2020,5,3,1,1,0,0,0
4/25/2020,3,2,0,0,0,0,1
4/26/2020,2,1,1,0,0,0,0
4/27/2020,1,0,0,1,0,0,0
4/28/2020,2,0,0,2,0,0,0
4/29/2020,4,3,0,0,0,0,1
4/30/2020,5,0,3,1,0,0,1
5/1/2020,1,1,0,0,0,0,0
5/2/2020,1,0,0,1,0,0,0
5/3/2020,2,1,1,0,0,0,0
5/4/2020,1,0,1,0,0,0,0
5/5/2020,4,3,0,0,0,0,1
5/6/2020,1,1,0,0,0,0,0
5/7/2020,3,3,0,0,0,0,0
