Date,Statewide total,Oahu,Hawaii island,Maui,Kauai,Outside Hawaii
08/31/2020,,,,,,
09/01/2020,291,157,19,5,0,0
09/02/2020,228,301,35,2,0,0
09/03/2020,211,190,17,4,0,0
09/04/2020,271,236,34,1,0,0
09/05/2020,220,190,24,5,0,1
09/06/2020,162,146,13,2,1,0
09/07/2020,104,89,11,4,0,0
09/08/2020,66,58,6,2,0,0
09/09/2020,98,88,10,0,0,0
09/10/2020,169,158,8,3,0,0
09/11/2020,167,142,21,4,0,0
09/12/2020,129,113,10,6,0,0
09/13/2020,112,95,15,2,0,0
09/14/2020,79,69,7,3,0,0
09/15/2020,65,59,5,0,0,1
09/16/2020,102,97,4,0,0,1
09/17/2020,159,136,20,3,0,0
09/18/2020,112,104,9,0,-1,0
09/19/2020,109,99,7,3,0,0
09/20/2020,77,71,5,1,0,0
09/21/2020,56,49,7,0,0,0
09/22/2020,63,55,8,0,0,0
09/23/2020,167,153,13,1,0,0
09/24/2020,90,81,5,2,0,2
09/25/2020,112,97,14,0,1,0
09/26/2020,127,124,2,0,1,0
09/27/2020,98,91,7,0,0,0
09/28/2020,87,87,0,0,0,0
09/29/2020,87,80,3,2,0,2
09/30/2020,120,91,27,1,0,1
10/01/2020,105,99,6,0,0,0
10/02/2020,86,69,16,0,0,1
10/03/2020,133,87,43,3,0,0
10/04/2020,70,53,15,2,0,0
10/05/2020,50,41,10,-1,0,0
10/06/2020,83,67,14,2,0,0
10/07/2020,108,89,18,-1,0,2
10/08/2020,101,86,14,1,0,0
10/09/2020,154,108,45,0,0,1
10/10/2020,71,58,13,0,0,0
10/11/2020,101,77,24,0,0,0
10/12/2020,42,37,5,0,0,0
10/13/2020,61,29,21,11,0,0
10/14/2020,99,79,18,1,0,1
10/15/2020,90,73,13,2,0,2
10/16/2020,89,68,21,0,0,0
10/17/2020,96,81,12,0,1,2
10/18/2020,82,67,14,0,1,0
10/19/2020,37,29,7,0,-1,2
10/20/2020,88,58,24,2,0,4
