Date,Statewide total,Oahu,Hawaii island,Maui,Kauai,Outside Hawaii
8/31/2020,8472,7691,364,335,57,25
9/1/2020,8763,7848,383,340,57,25
9/2/2020,8991,8149,418,342,57,25
9/3/2020,9202,8339,435,346,57,25
9/4/2020,9473,8575,469,347,57,25
9/5/2020,9693,8765,493,352,57,26
9/6/2020,9855,8911,506,354,58,26
9/7/2020,9959,9000,517,358,58,26
9/8/2020,10025,9058,523,360,58,26
9/9/2020,10123,9146,533,360,58,26
9/10/2020,10292,9304,541,363,58,26
9/11/2020,10459,9446,562,367,58,26
9/12/2020,10588,9559,572,373,58,26
9/13/2020,10700,9654,587,375,58,26
9/14/2020,10779,9723,594,378,58,26
9/15/2020,10844,9782,599,378,58,27
9/16/2020,10946,9879,603,378,58,28
9/17/2020,11105,10015,623,381,58,28
9/18/2020,11217,10119,632,381,57,28
9/19/2020,11326,10218,639,384,57,28
9/20/2020,11403,10289,644,385,57,28
9/21/2020,11459,10338,651,385,57,28
9/22/2020,11522,10393,659,385,57,28
9/23/2020,11689,10546,672,386,57,28
9/24/2020,11779,10627,677,388,57,30
9/25/2020,11891,10724,691,388,58,30
9/26/2020,12018,10848,693,388,59,30
9/27/2020,12116,10939,700,388,59,30
9/28/2020,12203,11026,700,388,59,30
9/29/2020,12290,11106,703,390,59,32
9/30/2020,12410,11197,730,391,59,33
10/1/2020,12515,11296,736,391,59,33
10/2/2020,12601,11365,752,391,59,34
10/3/2020,12734,11452,795,394,59,34
10/4/2020,12804,11505,810,396,59,34
10/5/2020,12854,11546,820,395,59,34
10/6/2020,12937,11613,834,397,59,34
10/7/2020,13045,11702,852,396,59,36
10/8/2020,13146,11788,866,397,59,36
10/9/2020,13300,11896,911,397,59,37
10/10/2020,13371,11954,924,397,59,37
10/11/2020,13472,12031,948,397,59,37
10/12/2020,13514,12068,953,397,59,37
10/13/2020,13575,12097,974,408,59,37
10/14/2020,13674,12176,992,409,59,38
10/15/2020,13764,12249,1005,411,59,40
10/16/2020,13853,12317,1026,411,59,40
10/17/2020,13949,12398,1038,411,60,42
10/18/2020,14031,12465,1052,411,61,42
10/19/2020,14068,12494,1059,411,60,44
10/20/2020,14156,12552,1083,413,60,48
